name,hiring_date,department,birthday
Veronica Davis,2021-12-22,"Designer, graphic",1962-05-17
Debra White,2020-08-26,"Clinical scientist, histocompatibility and immunogenetics",1989-07-07
Benjamin Wong,2021-06-03,Museum/gallery curator,1990-07-01
Michael Schwartz,2022-02-07,Energy engineer,1997-09-28
Matthew Lynch,2020-08-18,Horticultural consultant,1963-10-31
Amy Jordan,2022-10-23,Marine scientist,1974-06-22
Michael Hall,2019-05-21,Clothing/textile technologist,1983-02-10
Alyssa Morales,2021-12-28,Firefighter,2002-08-03
Jessica Rogers,2020-12-13,Interior and spatial designer,1969-12-14
Katherine Williams,2021-05-21,Contractor,1993-10-11
Ryan Baker,2022-10-24,"Civil engineer, contracting",1978-09-25
Wendy Goodman,2019-12-02,Dancer,1970-04-29
Jennifer Johnson,2021-07-13,Herpetologist,1996-04-09
Phillip Juarez,2021-07-01,Best boy,1998-02-15
Jeffrey Griffin,2024-01-29,Maintenance engineer,2003-02-06
Timothy Smith,2021-04-04,Press sub,1970-12-26
Michael Brown,2019-12-28,Public house manager,1973-10-14
Bobby Harvey,2020-02-18,Tourist information centre manager,1959-10-25
Michael Rowe,2020-12-16,Patent attorney,1960-05-19
William Hill,2020-09-07,Financial planner,1983-09-06
